properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "out/outside_main",
  music = "cave",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  pattern = "14667",
}

tile{
  layer = 0,
  x = 0,
  y = 40,
  width = 208,
  height = 32,
  pattern = "1058",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 208,
  height = 40,
  pattern = "13892",
}

tile{
  layer = 0,
  x = 0,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 8,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 24,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 40,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 56,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 72,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 88,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 96,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 128,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 144,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 160,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 176,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 192,
  y = 32,
  width = 16,
  height = 8,
  pattern = "959",
}

tile{
  layer = 0,
  x = 264,
  y = 16,
  width = 48,
  height = 48,
  pattern = "2206",
}

tile{
  layer = 0,
  x = 256,
  y = 16,
  width = 8,
  height = 48,
  pattern = "2207",
}

tile{
  layer = 0,
  x = 312,
  y = 16,
  width = 8,
  height = 48,
  pattern = "2208",
}

tile{
  layer = 0,
  x = 264,
  y = 64,
  width = 48,
  height = 8,
  pattern = "2209",
}

destination{
  name = "destination",
  layer = 0,
  x = 32,
  y = 133,
  direction = 1,
}

enemy{
  name = "enemy1",
  layer = 0,
  x = 248,
  y = 101,
  direction = 0,
  breed = "dark_world/ropa",
  treasure_name = "consumables/bomb_refill",
  treasure_variant = 2,
}

enemy{
  name = "enemy2",
  layer = 0,
  x = 168,
  y = 141,
  direction = 0,
  breed = "dark_world/ropa",
  treasure_name = "consumables/arrow_refill",
  treasure_variant = 5,
}

enemy{
  name = "enemy3",
  layer = 0,
  x = 112,
  y = 205,
  direction = 0,
  breed = "dark_world/ropa",
  treasure_name = "consumables/rupee",
  treasure_variant = 3,
}

